time,tBRAF,tCRAF,tRAS,tMEK,tERK,tDUSP,tEGFR,tGRB2,tSPRY,tSOS1,pERK,pS1134SOS1,pMEK,SOS1_active,uS1134SOS1,RAS_gtp,RAS_gdp,active_RAF_dimers,active_RAF_monomers,active_MEK,uMEK,uERK,param_set_index,time_pre_treatment,RAFi_concentration,MEKi_concentration,time_treatment,EGFR_expression,EGF_concentration
-24.0,0.0018386164971985635,0.02105264988450876,0.07532217767433592,0.11384140690955202,0.08840363842576507,0.014654592875352927,0.036042806579669504,0.07469322561796454,0.26468452428127087,0.01057478485910958,0.020305777394699208,0.0075122409319057434,0.047221169718792554,1.143390395874918e-25,0.0030625439272038376,2.1136879944159537e-22,0.07532217767433592,6.010747377472687e-37,0.0018386164971985637,0.047221169718792554,0.06662023719075946,0.06809786103106585,1,24,1.0,0.0,2,1.0,100
-23.757575757575758,0.001838616482555637,0.021052649633885694,0.07532217767433592,0.11384140671299535,0.08840363822865888,0.01460261635668503,0.0357897467458739,0.07469322562790948,0.25107008214794496,0.01057478485910923,0.00028700099951668533,0.00035637116940705557,0.011005994017515848,4.420690194290115e-25,0.010218413689702175,4.6705167443526325e-22,0.07532217767433592,8.566503690516859e-43,7.368618252821766e-05,0.011005994017515848,0.10283541269547951,0.08811663722914219,1,24,1.0,0.0,2,1.0,100
-23.515151515151516,0.0018386164825574085,0.02105264963388505,0.07532217767433592,0.11384140671298877,0.08840363822865509,0.014550829237216466,0.035539426478796474,0.07469322567310188,0.23816061863693,0.01057478485911141,0.00028800198398258044,0.0003575648820040788,0.011005994017526175,4.637546476430153e-25,0.010217219977107332,6.269164522696838e-22,0.07532217767433592,1.5341787225714306e-42,7.36861825282892e-05,0.011005994017526175,0.1028354126954626,0.0881156362446725,1,24,1.0,0.0,2,1.0,100
-23.272727272727273,0.0018386164825568206,0.0210526496338782,0.07532217767433592,0.11384140671298967,0.08840363822866273,0.014499252444901882,0.03529192160601819,0.07469322576084948,0.2259266034099484,0.010574784859115328,0.0002890059035440873,0.0003587618146639278,0.011005994017523125,4.86856579223151e-25,0.0102160230444514,7.32158656329271e-22,0.07532217767433592,2.1412126971863728e-42,7.368618252826411e-05,0.011005994017523125,0.10283541269546655,0.08811463232511864,1,24,1.0,0.0,2,1.0,100
-23.03030303030303,0.0018386164825553574,0.02105264963387894,0.07532217767433592,0.113841406713002,0.0884036382286809,0.014447885142091136,0.03504720059277476,0.07469322583757969,0.2143327512906934,0.010574784859119127,0.0002900127625261391,0.0003599619702450717,0.011005994017515414,5.11346523974408e-25,0.010214822888874054,8.087795250815017e-22,0.07532217767433592,2.4574700627979797e-42,7.368618252820529e-05,0.011005994017515414,0.10283541269548657,0.08811362546615477,1,24,1.0,0.0,2,1.0,100
-22.78787878787879,0.001838616482553575,0.021052649633886797,0.07532217767433592,0.1138414067130277,0.08840363822870631,0.014396726488932617,0.034805232150902816,0.07469322588243357,0.20334613033225662,0.010574784859121422,0.0002910225652493987,0.00036116535153125884,0.011005994017506404,5.370935020930203e-25,0.010213619507590163,8.677857784497763e-22,0.07532217767433592,2.7438819943284834e-42,7.368618252813506e-05,0.011005994017506404,0.1028354126955213,0.08811261566345692,1,24,1.0,0.0,2,1.0,100
-22.545454545454547,0.0018386164825532065,0.021052649633883286,0.07532217767433592,0.11384140671303958,0.08840363822872037,0.014345775643854917,0.03456598495032165,0.07469322582398577,0.19293385797814233,0.010574784859118067,0.0002920353161131128,0.0003623719613880612,0.011005994017505048,5.639976254848001e-25,0.010212412897730005,9.21722300463295e-22,0.07532217767433592,3.304279799922707e-42,7.368618252811956e-05,0.011005994017505048,0.10283541269553453,0.08811160291260725,1,24,1.0,0.0,2,1.0,100
-22.303030303030305,0.001838616482551919,0.021052649633883917,0.07532217767433592,0.11384140671306534,0.08840363822874056,0.014295031783308425,0.03432942868517281,0.07469322573180884,0.1830662678475128,0.010574784859112576,0.00029305101927094374,0.00036358180236985266,0.011005994017499056,5.923778768380649e-25,0.010211203056742724,9.734778455976494e-22,0.07532217767433592,3.69152062891813e-42,7.368618252806776e-05,0.011005994017499056,0.10283541269556629,0.08811058720946963,1,24,1.0,0.0,2,1.0,100
-22.060606060606062,0.0018386164825512621,0.021052649633879903,0.07532217767433592,0.11384140671308124,0.08840363822875355,0.014244494080592513,0.03409553306847615,0.07469322556960052,0.1737143909817431,0.010574784859102982,0.0002940696789174538,0.00036479487707439064,0.011005994017496261,6.2228233314462955e-25,0.010209989982028591,1.0273495616209748e-21,0.07532217767433592,4.130148219465434e-42,7.368618252804052e-05,0.011005994017496261,0.10283541269558498,0.0881095685498361,1,24,1.0,0.0,2,1.0,100
-21.81818181818182,0.0018386164825514942,0.021052649633875122,0.07532217767433592,0.11384140671308283,0.08840363822875848,0.014194161715864186,0.03386426821498938,0.07469322534983674,0.16485055494799206,0.010574784859090011,0.0002950912991518057,0.00036601118797824415,0.011005994017497762,6.538983942602952e-25,0.010208773671111768,1.0840528091551429e-21,0.07532217767433592,4.5947450484056685e-42,7.36861825280489e-05,0.011005994017497762,0.10283541269558508,0.08810854692960667,1,24,1.0,0.0,2,1.0,100
