Parameter_set,chi2,ep_RAF_RAF_mod_RASstategtp_double_deltaG,bind_RASstategtp_RAF_kf,bind_RASstategtp_RAF_kD,bind_RASstategtp_RAF_phi,bind_RAF_RAF_kf,bind_RAF_RAF_kD,bind_RAF_RAF_phi,ep_RAF_RAF_mod_RAFi_single_deltaG,ep_RAF_RAF_mod_RAFi_double_deltaG,bind_RAFi_RAF_kf,bind_RAFi_RAF_kD,bind_RAFi_RAF_phi,bind_RAF_MEKphosphou_kf,bind_RAF_MEKphosphou_kD,bind_RAF_MEKphosphou_phi,catalyze_RAFrafiNone_MEK_p_kcat,bind_MEKi_MEK_kf,bind_MEKi_MEK_kD,bind_MEKi_MEK_phi,ep_MEKphosphop_MEKi_deltaG,bind_MEK_ERKphosphou_kf,bind_MEK_ERKphosphou_kD,catalyze_MEKmekiNone_phosphop_ERK_p_kcat,bind_DUSP_ERKphosphop_kf,bind_DUSP_ERKphosphop_kD,DUSP_eq,synthesize_ERKphosphop_DUSP_ERK_gexpslope,synthesize_ERKphosphop_DUSP_kdeg,ep_EGFR_EGFR_mod_EGF_single_deltaG,ep_EGFR_EGFR_mod_EGF_double_deltaG,bind_EGF_EGFR_kf,bind_EGF_EGFR_kD,bind_EGF_EGFR_phi,bind_EGFR_EGFR_kf,bind_EGFR_EGFR_kD,bind_EGFR_EGFR_phi,catalyze_GRB2_RTKSH2ANY_deg_kcat,EGFR_eq,synthesize_ERKphosphop_EGFR_ERK_gexpslope,synthesize_ERKphosphop_EGFR_kdeg,bind_RTK_GRB2_kf,bind_RTK_GRB2_kD,bind_SPRY_GRB2_kf,bind_SPRY_GRB2_kD,SPRY_eq,synthesize_ERKphosphop_SPRY_ERK_gexpslope,synthesize_ERKphosphop_SPRY_kdeg,bind_GRB2_SOS1_kf,bind_GRB2_SOS1_kD,catalyze_ERKphosphop_SOS1_pS1134_kbase,catalyze_ERKphosphop_SOS1_pS1134_kcat,ep_SOS1S1134p_GRB2_deltaG,bind_SOS1_RAS_kf,bind_SOS1_RAS_kD,catalyze_SOS1_RAS_gtp_kcat,catalyze_PP2A_MEK_u_kcatr,catalyze_DUSP_ERK_u_kcatr,catalyze_phosphatase_SOS1_uS1134_kcatr,catalyze_NF1_RAS_gdp_kcatr,BRAF_0,CRAF_0,RAS_0,MEK_0,ERK_0,GRB2_0,SOS1_0,pMEK_IF_scale,pMEK_IF_offset,pERK_IF_scale,pERK_IF_offset
60,35.97653105,0.000100342,99600920.01,0.001791921,1,1008.533596,3.297815311,1,0.010082388,70.65181613,22279.84525,0.033896681,0,155076.4105,0.000945887,1,4203865.378,207422.4693,0.009270455,0,3.420539028,552970.8781,0.0006578,55414.98372,100000000,1.03E-05,2027.352281,0.166788226,0.015323837,0.00018899,0.000617338,81718.74532,0.001206524,1,43453.4637,29.90818718,1,998.3606842,8240.848308,0.872647221,0.149276344,8167031.864,0.011852172,11693389.61,0.018388743,0.306815093,10.95184478,0.010621426,1199.276711,0.000946453,0.012838398,1008.379528,9084.10154,26901.30076,0.001676408,1000.01347,0.000100151,0.522200881,0.00967049,0.002762402,1107.879305,12566.83289,45392.5583,64655.81047,65396.70545,44836.96731,6361.834105,3.016132873,0.00401728,3.857944716,0.076556364
61,36.00905874,0.062936313,4759154.787,0.000112869,1,1005.04614,2.803737691,1,0.119510791,3.532664141,260838.3774,0.024947125,0,316361.6194,0.028029224,1,8425430.296,1052745.976,0.004872429,0,2.28842888,11420745.14,1.67E-05,132667.7519,94350094.61,4.70E-05,1132.682107,0.492123643,0.248855183,0.001528139,0.000947234,55717593.43,0.000443631,1,1943369.086,48.82828941,1,7.437669395,7211.03461,1.084975197,0.002241444,99474418.72,0.023609599,37439919.82,0.016614226,0.100016428,11.30850827,0.299420389,16402.95525,0.052439262,0.010127407,28615.63845,2946.230018,16517170.05,0.000515423,2612.95969,0.000100085,0.50624118,0.010077464,0.029194192,1107.706489,12595.78967,45850.30933,67082.75806,61111.87237,44638.583,6366.962911,2.700244126,0.007595167,4.053271453,0.078374498
62,36.09071448,0.218617663,179291.0167,0.000100001,1,1000.101434,1.000676301,1,0.098925854,2.337998354,95265.83097,0.044768971,0,251790.7318,0.000176873,1,46657565.03,125688.2328,0.020748399,0,5.265983864,99988414.06,2.66E-05,30228.22248,13169120.45,5.14E-05,1827.552829,0.142932971,0.005945458,0.000350798,0.001360964,431322.099,0.000165562,1,42268024.45,12.24688895,1,40.39666288,7644.318084,0.788424242,0.008379047,34503341.77,0.024552499,52665.96546,0.019900507,0.535607379,8.851471982,0.263155836,36700.62329,0.049691514,0.412753096,3569062.802,9490.274406,1984425.824,0.000358874,23100.57446,0.000194598,0.515567917,0.012465928,0.0001002,1106.922334,12592.41796,46704.77562,60402.02239,79946.32965,44822.54274,6369.939096,25.17976833,0.00465586,4.15641691,0.064024946
63,36.13434296,0.00073634,1000.004375,0.965088012,1,14157236.59,43.93245977,1,0.002434126,2.69614197,14835.51374,0.041836696,0,2085.870875,0.999802763,1,3898891.952,69777.44611,0.003164925,0,29.67839427,12102492.16,1.08E-05,1769.69804,3769930.987,7.12E-05,1761.268752,0.197332938,0.00110394,0.01937462,0.079783672,1319413.095,0.014664076,1,71283819.2,2.584266793,1,10.87836308,8229.409242,0.713524275,0.02689755,1025.580796,0.000289016,6496.508335,0.005361121,9.070304311,9.093871266,0.002920933,1820.131727,0.012452897,0.010132196,29046.03792,8931.911062,99980924.9,0.000120539,144873.656,0.000100027,0.101210419,0.012173396,0.000259914,1107.588556,12560.40028,44168.94134,59801.89967,80009.40671,44586.12097,6377.048794,99.73513503,0.00488424,3.988826588,0.071545055
64,36.14817874,0.000101788,22580.88921,0.000119165,1,83982.37457,11.84276141,1,0.001804918,9978.407138,5487.231462,0.047829081,0,9963.884394,0.805963307,1,314475.1841,415220.3403,0.003051854,0,1.928642399,4805610.413,1.00E-05,24708.51188,8289285.922,1.26E-05,1343.165073,0.539781107,0.282228612,0.000109095,0.000449044,21027207.96,0.035475374,1,92225799.76,1.195453616,1,3.514387293,8802.094563,0.949584463,0.085903484,16476105.34,0.063090414,12289785.7,0.001361171,0.161671352,8.614257506,0.002456394,32953178.44,0.006242717,5.790826991,7279.356515,1.847990226,46364.04301,0.000164386,2201977.211,0.000100038,0.228951688,0.009895296,0.000289844,1107.960328,12582.10253,45435.30733,67503.70964,57357.82043,46414.56237,6356.519154,2.667271288,0.005068926,3.910916107,0.095179016
65,36.22692841,0.000102041,56727.76457,0.00613044,1,124505.3289,12.51825287,1,0.001612597,9102.471126,5969.467059,0.04908568,0,10191.79994,0.846106157,1,346809.6155,514177.8453,0.003034845,0,1.98294576,6897354.853,1.00E-05,31778.80265,99974175.24,1.37E-05,1413.284676,0.528715098,0.316216505,0.000102443,39.81256512,45223.66236,0.030507079,1,10708.88833,1.431506594,1,3.888754601,8499.422339,0.997763012,0.013708699,5190.312897,0.041728258,49873703.61,0.001552483,0.73243972,8.061394988,0.001001012,658688.1039,0.007447616,9.67878398,13432.00671,4.771095932,438358.7804,0.025266019,13864.68605,0.00010032,0.198845914,0.009864495,0.094423716,1107.955735,12583.42659,45386.30215,66954.36107,57760.75216,46541.1907,6357.851794,2.809145978,0.004094989,3.963989533,0.097723981
66,36.23030026,0.0001,666301.1763,0.000105544,1,1000.145142,10.05020615,1,0.003700833,245.6782783,52564.959,0.037175645,0,50497.95372,0.996445808,1,6674481.905,75549.90455,0.002711166,0,19.08615867,99998894.77,1.00E-05,19472.2228,36462984.26,0.000132305,1698.565583,0.290140283,0.316227714,0.000100953,729.1877431,80027363.63,0.01737917,1,121055.9081,1.866829495,1,3.89573281,8292.39517,0.760466023,0.002842692,434044.0628,0.013879424,159274.9766,0.002827515,0.445567902,8.228287107,0.001638817,5603.227037,0.00033785,1.89520773,7489.440589,53.96589947,11713.40771,0.010356838,47413.93282,0.000113055,0.892682688,0.011996816,0.004181148,1108.402534,12515.665,45417.60825,60185.51208,78198.51575,45671.8391,6357.51773,7.527605935,0.145014581,3.953493718,0.101735399
67,36.26764781,0.000108027,19821.44446,0.000299606,1,2104754.613,118.7788374,1,0.000266506,8771.323525,1068.636097,0.041394439,0,18953.66237,0.000913253,1,139190.3991,1281.659202,0.04008287,0,1.222153005,99534387.89,1.01E-05,17792.53833,87718064.42,0.00026849,1660.27061,0.309403235,0.315831192,0.000907358,9935.248405,42025.15849,0.052754386,1,11202.57758,126.9655768,1,46.7082999,8704.277535,0.717385328,0.005673745,1971889.661,0.021132746,43188364.69,0.002268641,6.485611349,7.94284102,0.003045057,168958.1906,0.000840851,0.02502487,60986.36378,41.40606409,7332380.436,0.000901297,3106.945677,0.003001428,0.482502613,0.011613225,0.099299598,1108.791429,12544.04635,45417.07177,59891.53444,77994.83794,45899.37903,6352.864465,13.10418634,0.140643064,4.037913767,0.093727594
68,36.41608498,0.000292834,44155639.6,0.004419694,1,1001.73399,12.63392225,1,0.001959925,818.2780282,48534.82075,0.051200737,0,873879.6378,0.030281521,1,4952334.603,1224.794846,0.011573421,0,27.3507985,99966885.1,1.01E-05,9561114.519,23713163.73,0.000524974,936.432375,0.644434197,0.266745978,0.000669542,0.020124161,688829.7251,0.003996395,1,391952.0949,9.202666337,1,3.480471709,8566.1,1.01027085,0.00255958,155794.1335,0.024611793,16033986.37,0.002096031,8.650468818,11.24228886,0.005923418,11816622.19,0.00040255,0.049340507,4265007.606,2716.326559,2788349.573,0.005147374,11768.45633,0.000398898,5.265401272,0.008549393,0.209252325,1108.10134,12561.7209,45518.39288,68326.63613,55166.79961,45646.30838,6364.406491,2.230948223,0.071074611,3.911742891,0.094802958
69,36.43102623,0.000101139,273545.9379,0.007960141,1,1303258.272,29.83942087,1,0.00319313,824.005537,14420.94133,0.02649841,0,10010.03763,0.285255371,1,341290.6182,190376.7594,0.002816302,0,2.618052613,2160873.632,1.43E-05,15457.10688,11993183.26,2.93E-05,925.8006045,0.548420765,0.002544664,0.001845371,0.000394193,19483794.93,0.001884289,1,263116.1283,6.490723367,1,4.225853237,8159.348632,0.936554791,0.001642543,597880.8868,0.076612529,19842518.32,0.000801169,0.104746575,7.215637218,0.00234448,2291951.588,0.000725533,0.023185806,638990.6008,21.28091514,73855.3431,0.384259709,73873.33234,0.000100133,0.450828497,0.010218053,0.016937695,1108.220297,12571.44356,45442.90642,66384.87166,62473.99666,46605.59104,6354.370305,2.804776565,0.014352248,3.974894626,0.083309165
